Customer Item code,Camlin PRODUCT CODE,Master Dealer ID,Chain name
1002065435,4195466,2,Future Retail
1002065488,4505477,2,Future Retail
301010362,1109201002,2,Future Retail
1000703325,1109201003,2,Future Retail
1000845406,5205170,2,Future Retail
1002065415,9900344,2,Future Retail
1002065416,9900784,2,Future Retail
300995629,9900501,2,Future Retail
300995638,9900502,2,Future Retail
1000197035,4899238,2,Future Retail
1000680987,4899240,2,Future Retail
300227466,4899226,2,Future Retail
300140544,6820102,2,Future Retail
1002065512,6807212,2,Future Retail
300227636,5249465,2,Future Retail
300227635,5247495,2,Future Retail
1000196999,6800114,2,Future Retail
1002065188,5636000,2,Future Retail
1002065458,5624000,2,Future Retail
1002065379,5637274,2,Future Retail
1000969223,4814501,2,Future Retail
1000199348,7700198,2,Future Retail
106055051,7270002,2,Future Retail
1002065434,7205194,2,Future Retail
100108917,7268001,2,Future Retail
1000842597,7205193,2,Future Retail
300227463,7287001,2,Future Retail
1000845422,7205195,2,Future Retail
1000199467,7787203,2,Future Retail
300436105,4907326,2,Future Retail
1002065380,8017387,2,Future Retail
1000077873,8023386,2,Future Retail
1002065523,8030385,2,Future Retail
1000939951,7000953,2,Future Retail
1000940043,205711,2,Future Retail
1000940041,805721,2,Future Retail
1000940042,811722,2,Future Retail
1000940045,1304731,2,Future Retail
1002065447,1305732,2,Future Retail
1000940123,1406741,2,Future Retail
106054942,530933,2,Future Retail
1002065496,443655,2,Future Retail
1000940124,7085009,2,Future Retail
1001829092,2070699,2,Future Retail
1001829106,2074695,2,Future Retail
1000979180,2235802,2,Future Retail
1002065437,2235803,2,Future Retail
1000979182,2235804,2,Future Retail
1002065497,2235805,2,Future Retail
1002065503,2235807,2,Future Retail
1000979187,2235808,2,Future Retail
1002065438,2205114,2,Future Retail
1002065521,2205116,2,Future Retail
1002065487,2205120,2,Future Retail
1002065524,2205123,2,Future Retail
1002065531,2205127,2,Future Retail
1002065504,2205128,2,Future Retail
1002065522,2205130,2,Future Retail
1002065525,2205134,2,Future Retail
1000940046,2206602,2,Future Retail
1000129442,3304639,2,Future Retail
1000940047,2206606,2,Future Retail
1000940048,2206610,2,Future Retail
1002065440,2209600,2,Future Retail
1002065439,818468,2,Future Retail
1002065526,519273,2,Future Retail
1000720583,1112201176,2,Future Retail
1000720436,1132203140,2,Future Retail
1000023119,1132203172,2,Future Retail
1002065498,1132205172,2,Future Retail
1002065465,1132204140,2,Future Retail
1000158678,1132201172,2,Future Retail
1000720505,1132201140,2,Future Retail
1000946283,1132208172,2,Future Retail
1000023181,1142203172,2,Future Retail
1000158756,1142201172,2,Future Retail
1000945195,1182203160,2,Future Retail
1000022906,1182201160,2,Future Retail
301010364,1152203144,2,Future Retail
1000023175,1152203180,2,Future Retail
1002065457,1152203240,2,Future Retail
1000364294,1152203280,2,Future Retail
1000703441,1152203392,2,Future Retail
1000720488,1152201140,2,Future Retail
1000720554,1152201180,2,Future Retail
1000720476,1152201280,2,Future Retail
1002065456,1152201240,2,Future Retail
1002065484,1161203160,2,Future Retail
1000720532,1162203080,2,Future Retail
1000720545,1162203152,2,Future Retail
1000720563,1162201152,2,Future Retail
1002065486,1132603192,2,Future Retail
490116903,4521546,19,Reliance CNC
490116901,4433541,19,Reliance CNC
490917063,4522552,19,Reliance CNC
490696444,6807122,19,Reliance CNC
490094811,6784147,19,Reliance CNC
490012008,5248480,19,Reliance CNC
491089158,5248491,19,Reliance CNC
490011998,5248482,19,Reliance CNC
490777698,7270016,19,Reliance CNC
490777699,7270018,19,Reliance CNC
490777700,7270175,19,Reliance CNC
490777701,7270369,19,Reliance CNC
490094826,7268016,19,Reliance CNC
490912545,7268018,19,Reliance CNC
490912546,7268175,19,Reliance CNC
490912547,7268369,19,Reliance CNC
490391632,7700198,19,Reliance CNC
