FG Code,Itemname,EAN Code,SKU,MRP,Category
T0308-001,VLCC Ayurveda Dandruff Control Shampoo,8907122009961,350ml,220,Ayurveda Hair Care
T0324-002,VLCC Pocket Parfum - Naturel Lime 12 Pcs,8907122009022,23ML,720,Parfum
T0325-002,VLCC Pocket Parfum - Herbal Forest 12 Pcs,8907122009039,23ML,720,Parfum
T0326-002,VLCC Pocket Parfum - Floral Garden 12 Pcs,8907122009046,23ML,720,Parfum
T0327-002,VLCC Pocket Parfum - Woody Forest 12 Pcs,8907122009053,23ML,720,Parfum
T0328-002,VLCC Pocket Parfum - Musky Naturel 12 Pcs,8907122009060,23ML,720,Parfum
T0297-001,VLCC Pocket ParfumJAR (bulk pack),8907122009435,15pcs,900,Parfum
F0049-002,Manicure Pedicure Kit-New Pack,8907122002191,,500,Premium Facial Kit
F0081-001,VLCC Pearl Facial Kit,8906008454246,,1100,Premium Facial Kit
F0097-020,Gold Single Facial Kit  + White & Bright Glow Worth Rs.79 FREE,8906008458022,1KIT,250,Single Facial kit
F0099-018,Pearl Single Facial Kit  + White & Bright Glow Worth Rs.79 FREE,8906008458015,1KIT,250,Single Facial kit
F0095-022,DIAMOND FACIAL KIT 6 steps Tube WG 20g,8906008458039,1KIT,350,Single Facial kit
F0559-001,VLCC OIL INFUSED TOTAL NOURISHMENT FRUIT CREAM 200GM,8907122011636,200GM,140,Mass Range
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20PA+++ 75GM,8907122011612,75GM,65,Mass Range
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel 100GM,8907122009268,100GM,85,Ayurveda Skin Care
F0367-001,Skin Brightening Haldi & Chandan Face wash 100ml +  50ml Free,8907122006076,100ml,99,Ayurveda F/w
F0371-001,Natural Fairness Kesar Chandan Face wash 100ml +  50ml Free,8907122006113,100ml,99,Ayurveda F/w
F0365-001,Deep Pore Cleansing & Brightening Haldi & Tulsi Face Wash 100ml + 50ml Free,8907122006052,100ml,99,Ayurveda F/w
F0369-001,Double Power Double Neem Skin Purifying Face wash 100ml +  50ml Free,8907122006090,100ml,99,Ayurveda F/w
F0386-001,Natural Fairness Chandan & Kesar Facial Kit,8907122006588,50gms,200,Ayurveda Kit
F0373-002,PLATINUM FACIAL KIT 6 steps Tube WG 20g,8907122006137,60gm,350,Platinum Kit
F0432-001,Matte Look SPF 30 Sun Screen Gel Crme (Tinted) 50 gm,8907122008414,60gm,195,Sun Care
F0313-003,Antitan Body Lotion SPF 25 150ml B1G1-MT,8907122002672,150ml,275,Sun Care
F0310-001,Skin Glow Facial Kit,8907122002993,Kit,99,MFK
F0309-001,Skin Whitening Facial Kit,8907122002986,Kit,99,MFK
T0001-003,VLCC KAJAL  2.5 GM,8906008451009,2.5gm,155,Eye Care
F0089-001,Instaglow Facial Kit,8906008452785,Kit,400,Regular Facial Kit
