FG code,Article Des,EAN Code,Size,Final MRP,Category
T0141-001,GlamorWave Stem-Cellogist TX╔ TeloBoost Vital Water 140 ml,8886468510655,,1500,Bellewave
T0142-001,WhiteWave Professional White-Neurogist╔ Express Lightening E,8886468550118,,1800,Bellewave
T0145-001,GlamorWave Stem-Cellogist╔ Youth Complex 20 ml,8888777302884,,2000,Bellewave
T0150-001,EyeWave Super Eye Brightener Eye Contour Gel 15 ml,8886468550590,,1000,Bellewave
T0151-001,EyeWave Signs Corrector Eye Masque 35 ml,8888777302617,,1500,Bellewave
T0152-001,EyeWave Super Eye Line Preventor Eye Contour Cream 15 ml,8886468550606,,1000,Bellewave
T0153-001,SunWave UV Extra DNA De-Tox UV Block White 35 ml,8886468550248,,1300,Bellewave
T0168-001,Alpha Illuminator 30 ml,8888777302082,,1950,Bellewave
T0170-001,Alpha Spot Corrector 15 ml,8888777303089,,1750,Bellewave
T0172-001,Oil Control Emulsion 30 ml,8888777302129,,1000,Bellewave
T0179-001,Milky Whiteness Mask 5 pcs.,8886468530189,,1650,Bellewave
T0181-001,Eye Perfection Mask 5 pcs.,8886468530172,,1250,Bellewave
T0190-001,GlamorWave Line Defense Perfection Mask (5 x 50gm),8886468510037,,1650,Bellewave
T0194-001,WhiteWave Pigment Spot Corrector 15 ml,8886468550866,,1150,Bellewave
T0177-001,Supreme Eye Brightening Gel 15 ml,8888777302174,,1200,Bellewave
T0143-001,HydroWave Aqua Marine 24H Cream 30ml,8886468550835,,2200,Bellewave
T0146-001,GlamorWave Cream Renewal 35 ml,8886468550125,,2200,Bellewave
T0149-001,ClearWave Matte De-Bac Concentrate 35 ml,8886468550354,,2200,Bellewave
T0169-001,Alpha Optimal Lightener 30 ml,8886468530226,,2150,Bellewave
T0191-001,GlamorWave Stem-Cellogist TX╔ TeloDefense Youth Cream 30 ml,8886468510693,,2200,Bellewave
T0217-001,BELLEWAVE CLEARWAVE CLEARFX PERFECTION MASK (5 PC in box),8886468510624,,1250,Bellewave
T0333-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,8907122011483,400ML,345,Skin Care
T0334-001,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 100ml,8907122011490,100ML,99,Skin Care
T0335-002,VLCC W&B Glow Body Lotion Pet Jar 18NO,8907122011506,20ML,270,Skin Care
F0547-002,Youth Boost Body Lotion (B1G1) 400ML,8907122011513,400ML,399,Skin Care
F0548-002,Youth Boost Body Lotion (B1G1) 100ML,8907122011520,100ML,135,Skin Care
F0544-001,VLCC YOUTH BOOST+ Detan Glow + Active Fruit BODY LOTION SPF 25| PA+++ Pet Jar 18No,8907122011865,20ML*18,270,Skin Care
F0550-002,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 400ML,8907122011544,400ML,399,Skin Care
F0551-002,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 100ML,8907122011551,100ML,135,Skin Care
F0553-002,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 400ML,8907122011575,400ML,399,Skin Care
F0554-002,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 100ML,8907122011582,100ML,135,Skin Care
F0556-002,VLCC 3 in 1 Intensive Care Cold Cream Pet Jar 24NO,8907122011841,10GM*24,240,Skin Care
F0557-001,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,8907122011612,75GM,65,Skin Care
F0558-002,VLCC Oil Infused Total Nourishment Fruit Cream Pet Jar 24NO,8907122011858,15GM*24,240,Skin Care
F0559-001,VLCC TOTAL NOURISHMENT FRUIT CREAM 200GM,8907122011636,200GM,140,Skin Care
F0465-001,VLCC Ultimo Blends Whitening & Detixifying Face Pack 100GM,8907122011445,100GM,350,Skin Care
T0306-001,Vlcc Ayurveda Soothing Aleo Vera Gel 100GM,8907122009268,100GM,85,Skin Care
F0525-001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask 100GM,8907122011001,100GM,350,Skin Care
T0329-001,Vaso Plus Petroleum Jelly Pet Jar 48No,8907122011674,7GM*5,240,Skin Care
T0330-001,Vaso Plus Petroleum Jelly 42,8907122011681,42GM,50,Skin Care
T0322-002,Chocolate + Cherry Combo,8907122011209,4.5+4.5GM,125,Lip Care
F0540-001,Cocoa Butter Lip Balm Strip of 6,8907122011391,10GM*6,150,Lip Care
F0541-001,Strawberry Lip Balm Strip of 6,8907122011407,10GM*6,150,Lip Care
F0542-001,Hydrating Lip Balm Strip of 6,8907122011414,10GM*6,150,Lip Care
F0568-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Light to fair) 30ml,8907122011735,30ML,150,Skin Care
F0569-001,VLCC GLAM & GLO 10 in 1  Skin Perfector (Medium skin tone) 30ml,8907122011742,30ML,150,Skin Care
F0567-001,Ayurveda Double Power Double Neem 18 ml Strip of 12,8907122011728,18ML*12,180,FWs
