itemcode,fgcode,chain_id,chain name
504074,F0233-001,22,HEALTH & GLOW
510487,F0056-001,22,HEALTH & GLOW
510488,F0055-001,22,HEALTH & GLOW
510491,F0212-001,22,HEALTH & GLOW
513987,T0001-003,22,HEALTH & GLOW
517707,F0091-005,22,HEALTH & GLOW
518602,F0198-003,22,HEALTH & GLOW
523703,F0169-001,22,HEALTH & GLOW
523704,F0089-006,22,HEALTH & GLOW
524676,F0320-002,22,HEALTH & GLOW
524679,F0319-002,22,HEALTH & GLOW
524772,F0210-001,22,HEALTH & GLOW
524773,F0387-002,22,HEALTH & GLOW
527295,F0404-001,22,HEALTH & GLOW
527556,F0097-018,22,HEALTH & GLOW
527558,F0099-016,22,HEALTH & GLOW
527559,F0095-020,22,HEALTH & GLOW
528578,F0440-001,22,HEALTH & GLOW
528581,F0432-001,22,HEALTH & GLOW
528583,F0094-016,22,HEALTH & GLOW
528843,F0098-014,22,HEALTH & GLOW
530127,F0158-004,22,HEALTH & GLOW
530131,F0162-005,22,HEALTH & GLOW
530139,T0037-006,22,HEALTH & GLOW
530144,F0096-014,22,HEALTH & GLOW
532258,F0185-001,22,HEALTH & GLOW
532263,F0187-001,22,HEALTH & GLOW
533372,T0036-005,22,HEALTH & GLOW
535101,F0217-001,22,HEALTH & GLOW
535102,F0206-001,22,HEALTH & GLOW
535112,F0037-001,22,HEALTH & GLOW
535113,F0038-001,22,HEALTH & GLOW
535114,F0036-001,22,HEALTH & GLOW
535115,F0035-001,22,HEALTH & GLOW
535117,F0202-001,22,HEALTH & GLOW
535120,F0167-001,22,HEALTH & GLOW
535121,F0216-001,22,HEALTH & GLOW
535122,F0220-001,22,HEALTH & GLOW
535123,F0232-001,22,HEALTH & GLOW
542294,F0311-003,22,HEALTH & GLOW
542496,F0328-003,22,HEALTH & GLOW
542903,F0306-004,22,HEALTH & GLOW
544280,F0313-003,22,HEALTH & GLOW
545222,F0357-001,22,HEALTH & GLOW
545223,F0356-001,22,HEALTH & GLOW
545224,F0355-001,22,HEALTH & GLOW
545225,F0367-001,22,HEALTH & GLOW
545226,F0369-001,22,HEALTH & GLOW
545227,F0365-001,22,HEALTH & GLOW
545228,F0371-001,22,HEALTH & GLOW
545615,F0386-001,22,HEALTH & GLOW
545616,F0385-001,22,HEALTH & GLOW
545617,F0384-001,22,HEALTH & GLOW
545618,F0383-001,22,HEALTH & GLOW
547142,F0410-003,22,HEALTH & GLOW
547143,F0409-001,22,HEALTH & GLOW
547144,F0436-001,22,HEALTH & GLOW
547145,F0424-001,22,HEALTH & GLOW
547146,F0405-001,22,HEALTH & GLOW
547147,F0425-001,22,HEALTH & GLOW
547148,F0407-001,22,HEALTH & GLOW
547149,F0404-001,22,HEALTH & GLOW
550306,F0568-001,22,HEALTH & GLOW
550308,F0547-003,22,HEALTH & GLOW
550309,F0550-003,22,HEALTH & GLOW
550310,F0553-003,22,HEALTH & GLOW
550311,F0465-001,22,HEALTH & GLOW
550312,F0525-001,22,HEALTH & GLOW
550313,T0311-002,22,HEALTH & GLOW
550314,T0309-002,22,HEALTH & GLOW
550315,F0569-001,22,HEALTH & GLOW
552219,F0609-001,22,HEALTH & GLOW
552220,F0607-001,22,HEALTH & GLOW
550900,P0121-001,22,HEALTH & GLOW
550901,P0127-001,22,HEALTH & GLOW
550904,P0122-001,22,HEALTH & GLOW
550905,P0128-001,22,HEALTH & GLOW
550906,P0123-001,22,HEALTH & GLOW
550907,P0124-001,22,HEALTH & GLOW
550908,P0129-001,22,HEALTH & GLOW
550909,P0130-001,22,HEALTH & GLOW
550910,P0126-001,22,HEALTH & GLOW
550911,P0132-001,22,HEALTH & GLOW
550902,P0125-001,22,HEALTH & GLOW
550903,P0131-001,22,HEALTH & GLOW
553864,T0304-001,22,HEALTH & GLOW
553865,T0305-001,22,HEALTH & GLOW
553863,T0303-001,22,HEALTH & GLOW
100007957,F0056-001,11,MAX Hypermarket India Pvt. Ltd
100007959,F0055-001,11,MAX Hypermarket India Pvt. Ltd
100008839,F0320-002,11,MAX Hypermarket India Pvt. Ltd
100008917,T0291-001,11,MAX Hypermarket India Pvt. Ltd
100010045,F0319-002,11,MAX Hypermarket India Pvt. Ltd
100010049,F0321-002,11,MAX Hypermarket India Pvt. Ltd
100024623,F0048-001,11,MAX Hypermarket India Pvt. Ltd
100040885,F0096-014,11,MAX Hypermarket India Pvt. Ltd
100040891,F0098-014,11,MAX Hypermarket India Pvt. Ltd
100041343,F0169-001,11,MAX Hypermarket India Pvt. Ltd
100041349,F0215-001,11,MAX Hypermarket India Pvt. Ltd
100041351,F0218-001,11,MAX Hypermarket India Pvt. Ltd
100042307,T0037-006,11,MAX Hypermarket India Pvt. Ltd
100042505,T0036-005,11,MAX Hypermarket India Pvt. Ltd
100042999,F0193-005,11,MAX Hypermarket India Pvt. Ltd
100043227,F0196-001,11,MAX Hypermarket India Pvt. Ltd
100043229,F0432-001,11,MAX Hypermarket India Pvt. Ltd
100043259,F0162-005,11,MAX Hypermarket India Pvt. Ltd
100043427,F0233-001,11,MAX Hypermarket India Pvt. Ltd
100043963,F0440-001,11,MAX Hypermarket India Pvt. Ltd
100043991,F0438-001,11,MAX Hypermarket India Pvt. Ltd
100044117,F0185-001,11,MAX Hypermarket India Pvt. Ltd
100044123,F0187-001,11,MAX Hypermarket India Pvt. Ltd
100044173,F0441-001,11,MAX Hypermarket India Pvt. Ltd
100044447,F0212-001,11,MAX Hypermarket India Pvt. Ltd
100044449,F0214-001,11,MAX Hypermarket India Pvt. Ltd
100044627,F0244-006,11,MAX Hypermarket India Pvt. Ltd
100044633,F0201-001,11,MAX Hypermarket India Pvt. Ltd
100044677,F0091-005,11,MAX Hypermarket India Pvt. Ltd
100044679,F0089-006,11,MAX Hypermarket India Pvt. Ltd
100044681,T0001-003,11,MAX Hypermarket India Pvt. Ltd
100044683,F0204-001,11,MAX Hypermarket India Pvt. Ltd
