EAN,Item Description,Spencer
8906008460971,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF10 packs,
8907122003952,Slimmer's Herbal Inf. with Green Tea (Digestive) 10's,
8907122001972,Slimmers Green Tea with Herbs - ANTIOXIDANT25 packs,
8907122001958,Slimmers Herbal Infusion with Green Tea - SLIMMING25 packs,
8907122001965,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF25 packs,
8907122003969,Slimmer's Herbal Inf. with Green Tea (Digestive) 25's,
8906008451719,Slimmers Honey Dietary Supplement225 gm,
8907122004775,Slimmers Honey Dietary Supplement400 gm,
8907122000982,Slimmers Stevia Herbal Sweetener60 no,
8907122001873,VLCC Daily protect Lip balm Orange 4Gm,1258346
8907122005246,VLCC Enchanting Eyes Kohl Blue.3gm,1302170
8907122005253,VLCC Enchanting Eyes Kohl Green.3gm,1302169
8907122002153,Shape Up Shaping Kit1 Kit,1028392
8907122002771,Shape Up Anti Stretch Mark Cream100 gm,
8907122002788,Shape Up Anti Stretch Mark Cream200 gm,
8906008453133,Shape Up Chin & Neck Firming Cream100 gm,
8906008453096,Shape Up HTA Shaping Gel100 gm,
8907122003945,Slimmers Green Tea with Herbs - ANTIOXIDANT50 packs,
8907122003921,Slimmers Herbal Infusion with Green Tea - SLIMMING50 packs,
8907122003938,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF50 packs,
8907122004812,Slimmers Green Tea with Herbs - ANTIOXIDANT with Stevia50 packs,
8907122004799,Slimmers Herbal Infusion with Green Tea - SLIMMING with Stevia50 packs,
8907122004805,Slimmers Herbal Infusion with Green Tea - STRESS RELIEF with Stevia50 packs,
8907122004782,Slimmers Honey Dietary Supplement125 gm,
8907122002375,YaP Instant Muscle Relaxing & Refreshing Oil100 ml,
8907122002368,YaP Instant Muscle Relaxing & Refreshing Gel150 gm,
8907122002382,YaP Instant Muscle Relaxing & Refreshing Spray100 ml,
8907122003600,YaP Organics - Combi Pack30gm + 30ml,
8907122001149,Gasflush20 Capsules,
8907122001132,Gasflush60 Capsules,
8907122004577,Slimmers Multi Green Muesli Crunchy Nut + Free 25%250 gm,
8907122004362,Slimmers Multi Green Muesli Fruit & Fibre + Free 25%250 gm,
8907122005284,Slimmers Multi Green Muesli Crunchy Nut + Free Honey 125 gm500 gm,
8907122005277,Slimmers Multi Green Muesli Fruit & Fibre + 25% + Free Honey 125 gm500 gm,
8906008453935,Slimmers Isabgol LEMON Flavoured100 gm,
8906008453942,Slimmers Isabgol PINEAPPLE Flavoured100 gm,
8907122001996,Slimmers Roasted Mix SPROUTED125 gm,
8907122001989,VLCC Slimmers Roasted Soyabean150 gm,
8906008453104,Shape Up Bust Firming Cream100 ml,1186213
8906008451818,VLCC SUNSCREEN GEL SPF15 100G,1028397
8906008459272,VLCC Enbrighten Tinted Sunscreen Soufflé SPF 25-40gm,1251722
8906008459302,VLCC Sweat Free Sun Block Lotion SPF 40-30gm,
8906008454116,VLCC Aloe Vera Body Lotion 200 ml,1231198
8906008458824,VLCC Mulberry Body Lotion – 200ml,1246670
8906008458800,VLCC Almond Body Lotion – 200ml,1246668
8907122003075,VLCC Gold Scrub-80gm,1239626
8907122003082,VLCC Gold Peel Off Mask-80gm,1239625
8907122003051,VLCC Diamond Detoxifying Wash-Off Mask-80gm,1275893
8907122003068,VLCC Diamond Polishing Face Scrub-80gm,1275892
8907122000074,VLCC Anti Aging Face Mask 80 gm,1080630
8906008450842,VLCC Snighda Skin Whitening Face Mask 80gm,1028430
8906008456530,VLCC Silver Facial Kit-6,
8906008456417,VLCC De pigmentation Facial Kit-6,1288295
8907122001064,VLCC ANTI TAN FACIAL KIT 250g,1288296
8907122001071,VLCC PAPAYA FRUIT FACL KT 250g,1288294
8907122001057,VLCC INSTA GLOW FACIAL KT 210g,1288297
8907122000210,Men Active Light Fairness Face Wash 100ml,
8907122000227,Men Active Light Fairness Face Scrub 100gm,
8907122000203,Men Active Light Fairness Moisturiser 100ml,
8907122000975,VLCC Insta Glow Bleach for Men 32.2 gm,
8907122001866,VLCC Daily protect Lip balm Honey 4GM,1251717
8906008456462,VLCC Strawberry Lip Shield 10ML,1075026
8907122004089,VLCC Mens lip Balm 4.5 gm,
8907122004140,VLCC Almond Lip Balm 4.5 gm,
8907122001859,VLCC Daily protect Lip balm Mango 4gm,
