EAN,Item Description,H&B 
8906008458992,VLCC Pomegranate & Aloe Vera Gentle Exfoliating Scrub-150ml,30040598
8906008459029,VLCC Liquorice & Fenugreek Natural Fairness Mask -100ml,30040599
8907122000197,Daily Skin Regime Pack-Arabian Exotica,
8906008459500,VLCC Protein Conditioning Shampoo-200ml,30047117
8906008458336,VLCC Henna Natura Colour Natural Black,
8906008459555,VLCC Hair Fall Repair Conditioner 100ml,30040571
8906008459531,VLCC Hair Smoothening Shampoo-350ml,30040569
8906008459524,VLCC Hair Smoothening Shampoo-200ml,30047120
8906008459548,VLCC Dandruff Control Conditioner 100ml,30040570
8907122000258,VLCC Insta Glow Saffron Bleach - 60 gm,30046835
8906008460414,VLCC Insta Fair & Glow Fairness Cream 50gm,
8906008460582,VLCC Almond Body Lotion â 100ml,
8906008460575,VLCC Mulberry Body Lotion â 100ml,
8906008460599,VLCC Aloe Vera Body Lotion -100 ml,
8906008460605,VLCC Coco Butter Body Lotion â 100ml Â  Â  Â  Â  Â  ,
8906008453355,Soap Insta Glow Basil&Mullbery,
8906008453362,Soap Anti Ageing Geranium & Bergamont,
8906008456073,Body Glow SPF 35 oil free,30050244
8906008456196,BODY GLOW SPF 35Â  100ML,30050245
8907122000418,Daily Shine Control Cleanser,30050246
8906008456035,Daily Shine Control Nourishing Mask,30050247
8907122000319,Enbrighten Day Treat Cream,30050248
8907122000326,Enbrighten Night Treat Cream ,30050249
8907122000333,Face Sculpt Day Cream ,30050250
8907122000432,Moisture Lock Facial Wash ,30050251
8906008456134,Skin Soothe Toner ,30050252
8907122000357,Maximum Replenish Night Cream ,30050253
8907122000364,Maximum Moisturise Day Cream ,30050254
8907122000395,Brighten Correct Day Treat Cream ,30050255
8907122000401,Brighten Correct Night Cream ,30050256
8906008456257,Papaya Enzyme Mask ,30050257
8906008456264,Exotic Jewel Scrub ,30050258
8906008456271,Exotic Jewel Mask ,30050259
8906008459753,Whitening Scrub ,30050260
8906008459760,Whitening Face Pack ,30050261
8907122000371,Whitening Night Cream ,30050262
8907122000388,Whitening Day Cream ,30050263
8907122000456,Whitening Face Wash ,30050264
8907122002696,VLCC Ultra Radiance SoufflÃŠ with SPF 50 and PA+++,
8907122002047,VLCC 1 Day Instant Magic Whitening Cream,
8907122002122,VLCC 1 Day Instant Magic Whitening Scrub,
8907122002900,VLCC Anti-Tan Skin Lightening Facewash,
8907122002689,VLCC Refreshing Sun Block Gel  SPF 25 And pa+++,
8907122002023,VLCC Diamond & Gold Ultra Glow Facial Kit,30050983
8907122002030,VLCC Wonder Whitening Kit,
8907122004188,Antiaging Soap(3+1 free Offer),
8907122004171,Instaglow Fairness Soap (3+1) Free Offer,
8907122004614,VLCC De-Pigmentation fairness Facial Kit,
