EAN,Item Description,Spencer
8907122009060,VLCC Pocket Parfum - Musky Naturel - Man,
8907122011773,VLCC Pocket Parfum – Winter Love,
8907122011780,VLCC Pocket Parfum – Winter Fresh,
8907122009435,VLCC Pocket Parfum–JAR (bulk pack),
8886468550477,Gentle Cleansing Milk 200 ml,1316567
8886468550279,Gentle Wash 200 ml,1316568
8886468550491,Soft Exfoliating Emulsion100ml,1316547
8886468510662,GlamorWave Stem-Cellogist TX╔ TeloBright Vital Cleanser140ml,1316554
8886468510655,GlamorWave Stem-Cellogist TX╔ TeloBoost Vital Water 140 ml,1231198
8886468550118,WhiteWave Professional White-Neurogist╔ Express Lightening E,1316555
8888777302884,GlamorWave Stem-Cellogist╔ Youth Complex 20 ml,1316556
8886468550590,EyeWave Super Eye Brightener Eye Contour Gel 15 ml,1316557
8888777302617,EyeWave Signs Corrector Eye Masque 35 ml,1316558
8886468550606,EyeWave Super Eye Line Preventor Eye Contour Cream 15 ml,1316559
8886468550248,SunWave UV Extra DNA De-Tox UV Block White 35 ml,1316560 and 1246660
8888777302082,Alpha Illuminator 30 ml,1316561
8888777303089,Alpha Spot Corrector 15 ml,1316548
8888777302129,Oil Control Emulsion 30 ml,1316549
8886468530189,Milky Whiteness Mask 5 pcs.,1316550
8886468530172,Eye Perfection Mask 5 pcs.,1316551
8886468510037,GlamorWave Line Defense Perfection Mask (5 x 50gm),1316552
8886468550866,WhiteWave Pigment Spot Corrector 15 ml,1316553
8888777302174,Supreme Eye Brightening Gel 15 ml,1316562 & 1246662
8886468550835,HydroWave Aqua Marine 24H Cream 30ml,1316563 & 1246663
8886468550125,GlamorWave Cream Renewal 35 ml,1316564 & 1258348
8886468550354,ClearWave Matte De-Bac Concentrate 35 ml,1316565 & 1278676
8886468530226,Alpha Optimal Lightener 30 ml,1316566
8886468510693,GlamorWave Stem-Cellogist TX╔ TeloDefense Youth Cream 30 ml,1289515
8886468510624,BELLEWAVE CLEARWAVE CLEARFX PERFECTION MASK (5 PC in box),1289539
8907122011483,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 400ml,
8907122011490,VLCC AYURVEDA WHITE & BRIGHT GLOW BODY LOTION SPF 25| PA+++ 100ml,
8907122011506,VLCC W&B Glow Body Lotion Pet Jar 18NO,
8907122011513,Youth Boost Body Lotion (B1G1) 400ML,
8907122011520,Youth Boost Body Lotion (B1G1) 100ML,
8907122011865,VLCC YOUTH BOOST+ Detan Glow + Active Fruit BODY LOTION SPF 25| PA+++ Pet Jar 18No,
8907122011544,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 400ML,
8907122011551,VLCC ACTIVE FRUITS DAMAGE REPAIR BODY LOTION SPF 30|PA+++ 100ML,
8907122011575,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 400ML,
8907122011582,VLCC COCOA BUTTER DETAN GLOW SPF 30|PA+++ 100ML,
8907122011841,VLCC 3 in 1 Intensive Care Cold Cream Pet Jar 24NO,
8907122011612,VLCC 3 in 1 INTENSIVE CARE COLD CREAM SPF 20|PA+++ 75GM,
8907122011858,VLCC Oil Infused Total Nourishment Fruit Cream Pet Jar 24NO,
8907122011636,VLCC TOTAL NOURISHMENT FRUIT CREAM 200GM,
8907122011445,VLCC Ultimo Blends Whitening & Detixifying Face Pack 100GM,
8907122009268,Vlcc Ayurveda Soothing Aleo Vera Gel 100GM,
8907122011001,VLCC 7X Ultra Whitening & Brightening Charcoal Peel off Mask 100GM,
8907122011674,Vaso Plus Petroleum Jelly Pet Jar 48No,
8907122011681,Vaso Plus Petroleum Jelly 42,
8907122011209,Chocolate + Cherry Combo,
8907122011391,Cocoa Butter Lip Balm Strip of 6,
8907122011407,Strawberry Lip Balm Strip of 6,
8907122011414,Hydrating Lip Balm Strip of 6,
8907122011735,VLCC GLAM & GLO 10 in 1  Skin Perfector (Light to fair) 30ml,
8907122011742,VLCC GLAM & GLO 10 in 1  Skin Perfector (Medium skin tone) 30ml,
8907122011728,Ayurveda Double Power Double Neem 18 ml Strip of 12,
